시도,시군구,성별,연도,급여유형,등급,인원
충남,아산시,남자,2015,기초,2등급,7
충남,아산시,남자,2015,기초,3등급,26
충남,아산시,남자,2015,기초,4등급,22
충남,아산시,남자,2015,기초,5등급,2
충남,아산시,남자,2015,기초,등급외,37
충남,아산시,남자,2016,계,계,745
충남,아산시,남자,2016,계,1등급,37
충남,아산시,남자,2016,계,2등급,106
충남,아산시,남자,2016,계,3등급,229
충남,아산시,남자,2016,계,4등급,186
충남,아산시,남자,2016,계,5등급,30
충남,아산시,남자,2016,계,등급외,157
충남,아산시,남자,2016,일반,계,554
충남,아산시,남자,2016,일반,1등급,29
충남,아산시,남자,2016,일반,2등급,76
충남,아산시,남자,2016,일반,3등급,166
충남,아산시,남자,2016,일반,4등급,147
충남,아산시,남자,2016,일반,5등급,20
충남,아산시,남자,2016,일반,등급외,116
충남,아산시,남자,2016,감경,계,80
충남,아산시,남자,2016,감경,1등급,4
충남,아산시,남자,2016,감경,2등급,14
충남,아산시,남자,2016,감경,3등급,33
충남,아산시,남자,2016,감경,4등급,21
충남,아산시,남자,2016,감경,5등급,6
충남,아산시,남자,2016,감경,등급외,2
충남,아산시,남자,2016,의료급여,계,10
충남,아산시,남자,2016,의료급여,1등급,0
충남,아산시,남자,2016,의료급여,2등급,2
충남,아산시,남자,2016,의료급여,3등급,3
충남,아산시,남자,2016,의료급여,4등급,2
충남,아산시,남자,2016,의료급여,5등급,1
충남,아산시,남자,2016,의료급여,등급외,2
충남,아산시,남자,2016,기초,계,101
충남,아산시,남자,2016,기초,1등급,4
충남,아산시,남자,2016,기초,2등급,14
충남,아산시,남자,2016,기초,3등급,27
충남,아산시,남자,2016,기초,4등급,16
충남,아산시,남자,2016,기초,5등급,3
충남,아산시,남자,2016,기초,등급외,37
충남,아산시,남자,2017,계,계,849
충남,아산시,남자,2017,계,1등급,40
충남,아산시,남자,2017,계,2등급,106
충남,아산시,남자,2017,계,3등급,211
충남,아산시,남자,2017,계,4등급,244
충남,아산시,남자,2017,계,5등급,66
충남,아산시,남자,2017,계,등급외,182
충남,아산시,남자,2017,일반,계,626
충남,아산시,남자,2017,일반,1등급,30
충남,아산시,남자,2017,일반,2등급,73
충남,아산시,남자,2017,일반,3등급,155
충남,아산시,남자,2017,일반,4등급,180
충남,아산시,남자,2017,일반,5등급,53
충남,아산시,남자,2017,일반,등급외,135
충남,아산시,남자,2017,감경,계,94
충남,아산시,남자,2017,감경,1등급,4
충남,아산시,남자,2017,감경,2등급,20
충남,아산시,남자,2017,감경,3등급,28
충남,아산시,남자,2017,감경,4등급,30
충남,아산시,남자,2017,감경,5등급,9
충남,아산시,남자,2017,감경,등급외,3
충남,아산시,남자,2017,의료급여,계,13
충남,아산시,남자,2017,의료급여,1등급,1
충남,아산시,남자,2017,의료급여,2등급,0
충남,아산시,남자,2017,의료급여,3등급,3
충남,아산시,남자,2017,의료급여,4등급,5
충남,아산시,남자,2017,의료급여,5등급,0
충남,아산시,남자,2017,의료급여,등급외,4
충남,아산시,남자,2017,기초,계,116
충남,아산시,남자,2017,기초,1등급,5
충남,아산시,남자,2017,기초,2등급,13
충남,아산시,남자,2017,기초,3등급,25
충남,아산시,남자,2017,기초,4등급,29
충남,아산시,남자,2017,기초,5등급,4
충남,아산시,남자,2017,기초,등급외,40
충남,아산시,남자,2018,계,계,973
충남,아산시,남자,2018,계,1등급,46
충남,아산시,남자,2018,계,2등급,115
충남,아산시,남자,2018,계,3등급,239
충남,아산시,남자,2018,계,4등급,296
충남,아산시,남자,2018,계,5등급,81
충남,아산시,남자,2018,계,인지지원등급,20
충남,아산시,남자,2018,계,등급외,176
충남,아산시,남자,2018,일반,계,592
충남,아산시,남자,2018,일반,1등급,25
충남,아산시,남자,2018,일반,2등급,62
충남,아산시,남자,2018,일반,3등급,145
충남,아산시,남자,2018,일반,4등급,174
충남,아산시,남자,2018,일반,5등급,49
충남,아산시,남자,2018,일반,인지지원등급,7
충남,아산시,남자,2018,일반,등급외,130
충남,아산시,남자,2018,감경,계,236
충남,아산시,남자,2018,감경,1등급,16
충남,아산시,남자,2018,감경,2등급,36
충남,아산시,남자,2018,감경,3등급,68
충남,아산시,남자,2018,감경,4등급,85
충남,아산시,남자,2018,감경,5등급,20
충남,아산시,남자,2018,감경,인지지원등급,8
충남,아산시,남자,2018,감경,등급외,3
충남,아산시,남자,2018,의료급여,계,14
충남,아산시,남자,2018,의료급여,1등급,1
충남,아산시,남자,2018,의료급여,3등급,4
충남,아산시,남자,2018,의료급여,4등급,4
충남,아산시,남자,2018,의료급여,5등급,2
충남,아산시,남자,2018,의료급여,등급외,3
충남,아산시,남자,2018,기초,계,131
충남,아산시,남자,2018,기초,1등급,4
충남,아산시,남자,2018,기초,2등급,17
충남,아산시,남자,2018,기초,3등급,22
충남,아산시,남자,2018,기초,4등급,33
충남,아산시,남자,2018,기초,5등급,10
충남,아산시,남자,2018,기초,인지지원등급,5
충남,아산시,남자,2018,기초,등급외,40
충남,아산시,남자,2019,계,계,1130
충남,아산시,남자,2019,계,1등급,50
충남,아산시,남자,2019,계,2등급,117
충남,아산시,남자,2019,계,3등급,291
충남,아산시,남자,2019,계,4등급,389
충남,아산시,남자,2019,계,5등급,101
충남,아산시,남자,2019,계,인지지원등급,24
충남,아산시,남자,2019,계,등급외,158
충남,아산시,남자,2019,일반,계,657
충남,아산시,남자,2019,일반,1등급,21
충남,아산시,남자,2019,일반,2등급,67
충남,아산시,남자,2019,일반,3등급,164
충남,아산시,남자,2019,일반,4등급,222
충남,아산시,남자,2019,일반,5등급,58
충남,아산시,남자,2019,일반,인지지원등급,12
충남,아산시,남자,2019,일반,등급외,113
충남,아산시,남자,2019,감경,계,298
충남,아산시,남자,2019,감경,1등급,21
충남,아산시,남자,2019,감경,2등급,36
충남,아산시,남자,2019,감경,3등급,91
충남,아산시,남자,2019,감경,4등급,110
충남,아산시,남자,2019,감경,5등급,30
충남,아산시,남자,2019,감경,인지지원등급,7
충남,아산시,남자,2019,감경,등급외,3
충남,아산시,남자,2019,의료급여,계,12
